ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,total_mv,circ_mv,name,industry,list_date
001282.SZ,20260305,24.32,26.397,1.53,36.9347,3.3687,540355.3792,190096.7936,三联锻造,汽车配件,20230524
300779.SZ,20260305,93.72,4.6041,1.24,442.0562,13.8212,1883146.9063,1509271.9409,惠城环保,环境保护,20190522
300434.SZ,20260305,10.1,1.8368,0.99,44.219,1.6121,405761.3107,345542.2969,金石亚药,化学制药,20150424
000695.SZ,20260305,12.99,5.2445,1.1,,17.5285,301046.0286,288132.702,滨海能源,化工原料,19970218
920112.BJ,20260305,37.31,0.5164,0.53,24.4639,3.5351,316575.35,86495.773,巴兰仕,专用机械,20250828
000905.SZ,20260305,12.59,4.258,0.7,46.7688,1.8556,933938.2826,933936.3941,厦门港务,港口,19990429
301332.SZ,20260305,9.37,0.9736,0.67,30.3763,1.4833,432484.0625,248208.9575,德尔玛,家用电器,20230518
301278.SZ,20260305,42.89,15.9948,1.09,38.8588,2.7042,384758.2253,220463.0236,快可电子,电气设备,20220804
920725.BJ,20260305,37.46,16.5984,1.16,867.9548,5.7066,341916.15,157623.2965,惠丰钻石,矿物制品,20220718
920068.BJ,20260305,21.06,5.2199,0.42,80.0774,10.2914,1380693.6316,132055.1737,天工股份,小金属,20250513
000573.SZ,20260305,4.23,2.4143,0.82,,1.6412,269992.6955,267744.1184,粤宏远Ａ,区域地产,19940815
300521.SZ,20260305,31.0,2.7207,1.05,,8.7232,464163.0,464163.0,爱司凯,专用机械,20160705
600639.SH,20260305,10.26,0.5594,0.68,11.4935,0.7951,1151595.6282,872342.8573,浦东金桥,园区开发,19930326
301149.SZ,20260305,12.29,3.6256,0.81,30.8361,2.6271,528470.0221,321050.0895,隆华新材,化工原料,20211110
600835.SH,20260305,25.34,2.4212,1.52,27.6489,1.852,2591621.4065,2043681.8962,上海机电,运输设备,19940224
000973.SZ,20260305,13.36,4.4149,0.96,274.5054,3.8314,3284204.3194,1292477.3565,佛塑科技,塑料,20000525
000501.SZ,20260305,9.1,0.9389,0.74,32.3989,0.6433,699783.3852,699087.9951,武商集团,百货,19921120
000822.SZ,20260305,6.68,7.8413,0.81,152.4659,1.2464,597921.4066,597921.4066,山东海化,化工原料,19980703
688588.SH,20260305,12.83,0.8588,0.64,41.2906,4.1787,513212.8338,513212.8338,凌志软件,软件服务,20200511
300812.SZ,20260305,46.8,33.9202,1.3,,8.365,655560.4957,433873.7068,易天股份,专用机械,20200109
301205.SZ,20260305,198.1,15.5796,1.4,276.5095,16.2049,2570228.64,1346253.5268,联特科技,通信设备,20220913
600386.SH,20260305,4.2,1.2309,0.89,163.5294,1.8968,338688.0,338688.0,北巴传媒,汽车服务,20010216
605116.SH,20260305,24.95,0.6196,0.71,28.564,4.0182,1013427.1688,1013427.1688,奥锐特,化学制药,20200921
